Dias; Suscetíveis; Infetados; Recuperados; População
0;999.0;1.0;0.0;1000.0;
1;996.4097872056;2.5411556766399994;1.0490571177599999;999.9999999999999;
2;989.8548663121702;6.441164087662368;3.703969600167472;1000.0000000000001;
3;973.4136826887983;16.222496197060423;10.363821114141334;1000.0000000000001;
4;933.0919262144946;40.20635708278021;26.70171670272525;1000.0;
5;839.5887290423358;95.79466829264544;64.61660266501883;1000.0000000000001;
6;650.1659666874735;208.25148951794108;141.58254379458543;1000.0;
7;366.28361332641754;376.0973988336436;257.6189878399389;1000.0;
8;124.11851142924324;517.2316134759602;358.6498750947966;1000.0;
9;26.774617684983085;570.2859703243073;402.9394119907097;1000.0000000000001;
10;4.871443981748056;577.6934644257838;417.43509159246827;1000.0;
11;0.87125558952665;574.3226425494178;424.80610186105577;1000.0000000000002;
12;0.1588262282896118;569.019730661292;430.8214431104186;1000.0000000000002;
13;0.029692055765580296;563.4209682256871;436.54933971854757;1000.0000000000003;
14;0.005695730788067932;557.815191675242;442.1791125939703;1000.0000000000002;
15;0.0011206911286359058;552.2537206305816;447.74515867829007;1000.0000000000003;
16;2.260578711945001E-4;546.7455246905284;453.25424925160064;1000.0000000000002;
17;4.6721337913449184E-5;541.291845312872;458.70810796579036;1000.0000000000002;
18;9.888787915910961E-6;535.8924811795365;464.1075089316759;1000.0000000000002;
19;2.1423005488033867E-6;530.546958311765;469.4530395459347;1000.0000000000002;
20;4.748012679010636E-7;525.2547533996949;474.745246125504;1000.0000000000002;
21;1.0760414491293082E-7;520.015337454103;479.984662438293;1000.0000000000002;
22;2.4924700295479278E-8;514.8281845124382;485.17181546263737;1000.0000000000002;
23;5.898195812519747E-9;509.692773383304;490.307226610798;1000.0000000000002;
24;1.4253031864824525E-9;504.60858797148023;495.39141202709465;1000.0000000000002;
25;3.5156891125461933E-10;499.5751173071068;500.4248826925418;1000.0000000000002;
26;8.848112764820468E-11;494.59185551212573;505.408144487786;1000.0000000000002;
27;2.2711977003282723E-11;489.6583017534316;510.3416982465459;1000.0000000000002;
28;5.943681551866594E-12;484.77396019345116;515.2260398065431;1000.0000000000002;
29;1.5852197694206204E-12;479.9383399405241;520.0616600594745;1000.0000000000002;
